1.72	2845.929405
1.73	2845.544286
1.74	2845.159167
1.75	2844.774048
1.76	2844.128571
1.77	2843.309524
1.78	2842.490476
1.79	2841.671429
1.8	2840.852381
1.81	2840.033333
1.82	2839.214286
1.83	2838.395238
1.84	2837.57619
1.85	2836.757143
1.86	2835.938095
1.87	2835.119048
1.88	2834.3
1.89	2833.480952
1.9	2832.661905
1.91	2831.842857
1.92	2831.02381
1.93	2829.607305
1.94	2828.041437
1.95	2826.475569
1.96	2824.909701
1.97	2823.343832
1.98	2821.777964
1.99	2820.212096
2	2818.646228
2.02	2815.514491
2.04	2812.382754
2.05	2810.816886
2.06	2809.251018
2.07	2807.68515
2.08	2806.119281
2.09	2804.475602
2.1	2802.131627
2.11	2799.787651
2.12	2797.443675
2.13	2795.099699
2.14	2792.755723
2.15	2790.411747
2.16	2788.067771
2.17	2785.723795
2.18	2783.379819
2.19	2781.035843
2.2	2778.691867
2.21	2776.347892
2.22	2774.003916
2.23	2771.65994
2.24	2769.315964
2.25	2766.971988
2.26	2764.154464
2.27	2760.863393
2.28	2757.572321
2.29	2754.28125
2.3	2750.990179
2.31	2747.699107
2.32	2744.408036
2.33	2741.116964
2.34	2737.825893
2.35	2734.534821
2.36	2731.24375
2.37	2727.952679
2.38	2724.661607
2.39	2721.370536
2.4	2718.079464
2.41	2714.788393
2.42	2711.497321
2.43	2707.91625
2.44	2704.210893
2.45	2700.505536
2.46	2696.800179
2.47	2693.094821
2.48	2689.389464
2.49	2685.684107
2.5	2681.97875
2.51	2678.273393
2.52	2674.568036
2.53	2670.862679
2.54	2667.157321
2.55	2663.451964
2.56	2659.746607
2.57	2656.04125
2.58	2652.335893
2.59	2648.630536
2.6	2644.933795
2.61	2641.238012
2.62	2637.542229
2.63	2633.846446
2.64	2630.150663
2.65	2626.45488
2.66	2622.759096
2.67	2619.063313
2.68	2615.36753
2.69	2611.671747
2.7	2607.975964
2.71	2604.280181
2.72	2600.584398
2.73	2596.888614
2.74	2593.192831
2.75	2589.497048
2.76	2585.729286
2.77	2581.793571
2.78	2577.857857
2.79	2573.922143
2.8	2569.986429
2.81	2566.050714
2.82	2562.115
2.83	2558.179286
